day	S	E	I	R
0 	 112352.0 	 0.0 	 113.0 	 63.0
1 	 112337.5845702339 	 12.049512080553896 	 106.42013871509243 	 70.84009323978962
2 	 112323.81142628609 	 21.332047949259955 	 102.34235446245452 	 78.3028107051802
3 	 112310.41656489401 	 28.58848863053405 	 100.1343551164613 	 85.54356675986082
4 	 112297.20229812025 	 34.365298086979195 	 99.33095135997789 	 92.67877469566336
5 	 112284.01970392099 	 39.06567431913172 	 99.59013864502842 	 99.79616310372946
6 	 112270.75569293617 	 42.98724327800084 	 100.66073121556165 	 106.96238114904826
7 	 112257.32347519096 	 46.34983844021182 	 102.35850831806596 	 114.2286060832408
8 	 112243.65553203716 	 49.31597320128683 	 104.54863497723153 	 121.63467813421082
9 	 112229.69843348871 	 52.005929581228806 	 107.13270614156521 	 129.21215031935532
10 	 112215.40901540992 	 54.5088789856284 	 110.03919868805714 	 136.98653849165868
11 	 112200.75155863725 	 56.89107884436507 	 113.21643498731623 	 144.97898201415438
12 	 112185.69570631394 	 59.20191434334161 	 116.62739746653179 	 153.2074701303228
13 	 112170.21492538387 	 61.47835132828695 	 120.24590801456289 	 161.68774816163108
14 	 112154.28536865399 	 63.74821928169417 	 124.05381245106184 	 170.43398799886134
15 	 112137.88503227301 	 66.03263116211383 	 128.03890655624033 	 179.4592847544392
16 	 112120.9931306726 	 68.3477675482047 	 132.19340830167218 	 188.7760254463596
17 	 112103.58963174207 	 70.70619206951827 	 136.51283284855725 	 198.39616339446195
18 	 112085.65490996206 	 73.11782147300244 	 140.99516435614112 	 208.33142321177317
19 	 112067.16948633044 	 75.59064126557179 	 145.6402464792237 	 218.59345473863297
20 	 112048.11383236748 	 78.13123320360367 	 150.4493346236955 	 229.19394929237882
21 	 112028.46822085763 	 80.74516523246747 	 155.42476648673477 	 240.1447284459057
22 	 112008.21261126394 	 83.43727907245925 	 160.56972064335088 	 251.45781244077855
23 	 111987.32656046528 	 86.21190272960749 	 165.88803974151506 	 263.14547374396994
24 	 111965.78915207314 	 89.07300760401523 	 171.38410140211442 	 275.220279722956
25 	 111943.57893921858 	 92.02432509822768 	 177.0627240172375 	 287.6951274518932
26 	 111920.67389737666 	 95.06943273979604 	 182.92909883986485 	 300.58327267511044
27 	 111897.05138427291 	 98.21181843684379 	 188.98874095577133 	 313.8983546730418
28 	 111872.68810501354 	 101.45492828777462 	 195.24745447570334 	 327.65441813023546
29 	 111847.5600809006 	 104.80220243079036 	 201.71130808886292 	 341.86593291714826
30 	 111821.64262099018 	 108.25710167716298 	 208.3866186156018 	 356.54781234592656
31 	 111794.91029519164 	 111.82312849320631 	 215.27993948540998 	 371.71543061131047
32 	 111767.33690894068 	 115.5038421311761 	 222.39805431375265 	 387.38463940979574
33 	 111738.89547859438 	 119.30287047869466 	 229.74797335662038 	 403.5717842405555
34 	 111709.55820714564 	 123.22391981251909 	 237.33693181539545 	 420.2937206324422
35 	 111679.2964601047 	 127.27078209591185 	 245.17239037666147 	 437.567830425297
36 	 111648.08074198762 	 131.44734108330275 	 253.2620366389425 	 455.41203774997075
37 	 111615.88067304878 	 135.75757683995676 	 261.613787872742 	 473.8448250161927
38 	 111582.66496463721 	 140.20557028254433 	 270.23579409584636 	 492.8852499404053
39 	 111548.40139511084 	 144.79550671762186 	 279.1364418226465 	 512.5529623436213
40 	 111513.05678569307 	 149.53167876930493 	 288.3243582922049 	 532.8682211391251
41 	 111476.59697508912 	 154.41848913795295 	 297.8084160807036 	 553.8519123450806
42 	 111438.98679814891 	 159.46045279112252 	 307.5977369795814 	 575.5255643524323
43 	 111400.19005581329 	 164.66219968293376 	 317.7016976541205 	 597.9113696008615
44 	 111360.16949296583 	 170.0284764108668 	 328.1299339262284 	 621.0322007872948
45 	 111318.88677406016 	 175.5641480136695 	 338.89234542635273 	 644.9116287887706
46 	 111276.30245447015 	 181.27419990509122 	 349.9991010188425 	 669.5739439532355
47 	 111232.37595521513 	 187.1637393461156 	 361.4606435090094 	 695.044175194943
48 	 111187.06553511269 	 193.23799691170458 	 373.28769468736795 	 721.348111330744
49 	 111140.32827633753 	 199.5023273386195 	 385.49125800541515 	 748.5123119975631
50 	 111092.1200557154 	 205.9622104046128 	 398.08262371934256 	 776.564130335598
51 	 111042.39549500405 	 212.62325276363248 	 411.07337782566964 	 805.531751936511
52 	 110991.10794343348 	 219.49118928266003 	 424.4754050172336 	 835.4442080103936
53 	 110938.20948377013 	 226.5718807538252 	 438.30088565627204 	 866.3313746363336
54 	 110883.65087293346 	 233.8713174316846 	 452.5623073121073 	 898.2240170708756
55 	 110827.38152720462 	 241.39561734231697 	 467.2724649847909 	 931.153806006638
56 	 110769.34949482327 	 249.15102753708098 	 482.444466034101 	 965.1533387927112
57 	 110709.50143143645 	 257.1439218789921 	 498.09173322552795 	 1000.256163153455
58 	 110647.78257481765 	 265.3808008077393 	 514.2280082544131 	 1036.496799180231
59 	 110584.13672043334 	 273.86829128144706 	 530.8673536130925 	 1073.910761955997
60 	 110518.50619828049 	 282.61314510384403 	 548.0241534043314 	 1112.5345855771973
61 	 110450.8318473462 	 291.62223850700656 	 565.7131175292226 	 1152.4058449234606
62 	 110381.05299621572 	 300.90256858109905 	 583.9492797980784 	 1193.563180508932
63 	 110309.10743872188 	 310.4612521197721 	 602.7480010749052 	 1236.0463208430156
64 	 110234.93141525288 	 320.30552071290015 	 622.1249696161864 	 1279.8961056910864
65 	 110158.45959083308 	 330.4427194018482 	 642.0962007659156 	 1325.1545096432708
66 	 110079.62503865393 	 340.88030258459503 	 662.6780337880691 	 1371.8646658460864
67 	 109998.35922061048 	 351.62583031162114 	 683.8871321400543 	 1420.0708888965075
68 	 109914.5919734802 	 362.68696295603195 	 705.740479438675 	 1469.8186980269888
69 	 109828.25149312387 	 374.0714560097833 	 728.2553776807077 	 1521.154839887954
70 	 109739.26432346333 	 385.78715296491157 	 751.4494429006862 	 1574.127311030867
71 	 109647.55534490301 	 397.84198003608515 	 775.3405996066289 	 1628.7853803285193
72 	 109553.04776572496 	 410.2439389508051 	 799.9470745510454 	 1685.1796110187556
73 	 109455.66311651062 	 423.00109859036627 	 825.287389529975 	 1743.361881842654
74 	 109355.32124533913 	 436.12158664763115 	 851.3803533407314 	 1803.3854082308305
75 	 109251.94031886994 	 449.6135786793728 	 878.245052139785 	 1865.3047618104542
76 	 109145.43682012951 	 463.4852889209897 	 905.9008403719503 	 1929.1758908747806
77 	 109035.72555850595 	 477.7449581354796 	 934.3673254551184 	 1995.0561378546683
78 	 108922.71967134225 	 492.4008430138409 	 963.6643574136989 	 2063.0042586916416
79 	 108806.3306426197 	 507.4612009964734 	 993.8120105517088 	 2133.0804376598658
80 	 108686.46831099787 	 522.9342779908422 	 1024.8305701209808 	 2205.3463049403676
81 	 108563.04089617019 	 538.8282906582393 	 1056.7405113895907 	 2279.8649489102563
82 	 108435.95501623981 	 555.1514122908627 	 1089.5624815969309 	 2356.7009309346786
83 	 108305.11572028042 	 571.9117542930685 	 1123.3172757358802 	 2435.920295542602
84 	 108170.4265210324 	 589.1173474522963 	 1158.0258129419005 	 2517.5905800706455
85 	 108031.78942832821 	 606.7761232674561 	 1193.7091120371301 	 2601.780824365169
86 	 107889.1049884175 	 624.8958936831459 	 1230.388265112352 	 2688.5615781410593
87 	 107742.27235129314 	 643.4843236980213 	 1268.0844001347773 	 2778.0048984394684
88 	 107591.18931580284 	 662.5489100496484 	 1306.8186512407533 	 2870.1843555386677
89 	 107435.75238294706 	 682.0969591200776 	 1346.61212707806 	 2965.1750334082585
90 	 107275.85683067795 	 702.1355581327172 	 1387.4858695156993 	 3063.053525003567
91 	 107111.39678919547 	 722.6715473097153 	 1429.4608127946183 	 3163.8979256614457
92 	 106942.26531956521 	 743.7114917788595 	 1472.557741550752 	 3267.787824552467
93 	 106768.354502874 	 765.2616502000147 	 1516.7972442797784 	 3374.804293434147
94 	 106589.55554272255 	 787.3279404380121 	 1562.19966483752 	 3485.0298669850245
95 	 106405.75886426885 	 809.9159068438343 	 1608.7850516992855 	 3598.5485272206915
