day	S	E	I	R
0 	 112352.0 	 0.0 	 113.0 	 63.0
1 	 112346.37583331778 	 4.091159826372791 	 105.60718103773628 	 70.82014008742424
2 	 112341.03212204279 	 7.185524983593698 	 99.41557250215095 	 78.15541987446646
3 	 112335.92456519273 	 9.504220228798665 	 94.17175791601267 	 85.08243206332084
4 	 112331.01816762466 	 11.219788977327799 	 89.67768346110795 	 91.66168219975926
5 	 112326.2852074695 	 12.46685589605104 	 85.77851525800516 	 97.94110136530954
6 	 112321.70364956078 	 13.350449303393848 	 82.35316126975596 	 103.95878844484471
7 	 112317.25590689706 	 13.952497178313678 	 79.3068728798487 	 109.74515107724962
8 	 112312.92787371934 	 14.336897676242938 	 76.56546970647716 	 115.32457724782066
9 	 112308.70817063407 	 14.553476708797723 	 74.0708317776522 	 120.71674041031382
10 	 112304.58755517758 	 14.641077152806012 	 71.77738059483985 	 125.93761865002767
11 	 112300.5584615545 	 14.629970026792808 	 69.64933235083525 	 131.000290550947
12 	 112296.6146411597 	 14.543736651080803 	 67.658553615028 	 135.9155568283184
13 	 112292.75088181681 	 14.400737627146164 	 65.78288757884552 	 140.69242586553293
14 	 112288.9627883961 	 14.215259645426151 	 64.00484722281469 	 145.33849312127103
15 	 112285.24661143745 	 13.99841033653438 	 62.310595444753204 	 149.8602375270536
16 	 112281.59911314248 	 13.758817006851155 	 60.689148556517985 	 154.2632532629755
17 	 112278.01746262623 	 13.503171832892283 	 59.13175466400208 	 158.55243093145336
18 	 112274.49915394589 	 13.23665755481064 	 57.63140816325903 	 162.73209933899642
19 	 112271.04194196436 	 12.963279615889748 	 56.18247080255378 	 166.80613643104982
20 	 112267.64379210108 	 12.686125476682971 	 54.7803757025709 	 170.7780562067909
21 	 112264.30284095256 	 12.40756694884421 	 53.42139628868399 	 174.65107683263133
22 	 112261.01736537911 	 12.129418166253298 	 52.1024657646871 	 178.4281741104337
23 	 112257.78575822311 	 11.85305883031692 	 50.821036152061154 	 182.11212347487896
24 	 112254.60650919446 	 11.579530413689337 	 49.57496814263216 	 185.70553305141223
25 	 112251.47818980081 	 11.309611219998791 	 48.36244504730897 	 189.2108697178076
26 	 112248.39944143244 	 11.043874967364438 	 47.181905524202364 	 192.6304797073906
27 	 112245.36896591831 	 10.782736488755004 	 46.03199099347303 	 195.96660493800542
28 	 112242.38551801242 	 10.52648738343291 	 44.91150451048258 	 199.22139600090503
29 	 112239.44789938502 	 10.275323855321318 	 43.8193785503775 	 202.39692254665326
30 	 112236.55495380699 	 10.029368372124882 	 42.754649842905266 	 205.49518160683593
31 	 112233.70556325438 	 9.788686576952763 	 41.71643962641649 	 208.51810432382962
32 	 112230.8986447309 	 9.55330051357389 	 40.703938112142005 	 211.46756143879682
33 	 112228.13314767253 	 9.323198876616111 	 39.7163923482982 	 214.34536777281744
34 	 112225.408051795 	 9.098345015663133 	 38.75309665345189 	 217.15328594189887
35 	 112222.72236529256 	 8.878683173499391 	 37.81338507187412 	 219.89302946466648
36 	 112220.07512331834 	 8.664143321231997 	 36.89662543748366 	 222.56626538279295
