day	S	E	I	R
0 	 112352.0 	 0.0 	 113.0 	 63.0
1 	 112338.92027171743 	 10.84022862136691 	 106.29674782386454 	 70.83706610663047
2 	 112326.44345088906 	 19.168121473203296 	 101.89666080903581 	 78.28040623166251
3 	 112314.35055176266 	 25.63769990768408 	 99.22147414312701 	 85.47324958736907
4 	 112302.47738078624 	 30.73473346377251 	 97.84219145909071 	 92.52301655374293
5 	 112290.70038024505 	 34.82007885862148 	 97.44065501743582 	 99.5105658677416
6 	 112278.92611958591 	 38.16185413835436 	 97.78101373021434 	 106.49706112424775
7 	 112267.08349338429 	 40.959326175266106 	 98.6885385141812 	 113.52906995869805
8 	 112255.11792858606 	 43.360645311955516 	 100.03389365535514 	 120.64235079643109
9 	 112242.98708301249 	 45.47601266590061 	 101.72145859692078 	 127.86466525545055
10 	 112230.65765076882 	 47.3874568112332 	 103.68065682610036 	 135.2178671690411
11 	 112218.10298951778 	 49.15609265420746 	 105.85951790162295 	 142.71945440938308
12 	 112205.30135774155 	 50.82751137998185 	 108.21989719071642 	 150.38372194181193
13 	 112192.23460503461 	 52.43578221536309 	 110.73392695712013 	 158.2226186811762
14 	 112178.88719852568 	 54.006424098690026 	 113.38138120206271 	 166.24638455907447
15 	 112165.24549891616 	 55.55861228035104 	 116.14771919276151 	 174.4640243564416
16 	 112151.29722189567 	 57.106816658165954 	 119.02263311353879 	 182.88366030137476
17 	 112137.03103703908 	 58.662018590367886 	 121.99896967465286 	 191.51279475039476
18 	 112122.43626889684 	 60.23261430564945 	 125.07192977063048 	 200.35850602975214
19 	 112107.50267382448 	 61.825085967337436 	 128.2384742835734 	 209.4275947383585
20 	 112092.22027312452 	 63.44449991970856 	 131.4968832234498 	 218.72669321937488
21 	 112076.57922787077 	 65.09487694600446 	 134.8464284353191 	 228.26234777056703
22 	 112060.56974479875 	 66.77946707169286 	 138.28713101085833 	 238.04108053912572
23 	 112044.18200516263 	 68.50095373454496 	 141.8195813824433 	 248.0694364006691
24 	 112027.40611052675 	 70.26160580626868 	 145.4448056996421 	 258.354018769481
25 	 112010.23204133587 	 72.06339020333985 	 149.16416718649043 	 268.90151706015985
26 	 111992.649624769 	 73.90805579980876 	 152.97929297373315 	 279.7187280887898
27 	 111974.6485095473 	 75.79719578198721 	 156.89202007039594 	 290.8125729387932
28 	 111956.21814585934 	 77.73229407539029 	 160.9043554779634 	 302.1901104944754
29 	 111937.34776910079 	 79.71475983875192 	 165.0184469016334 	 313.8585484961331
30 	 111918.02638636433 	 81.74595329077991 	 169.2365611596819 	 325.82525281397193
31 	 111898.24276494789 	 83.8272051146873 	 173.5610682977664 	 338.09775542113493
32 	 111877.98542253312 	 85.9598305020996 	 177.99443046521202 	 350.6837612948772
33 	 111857.24261830778 	 88.14514007589665 	 182.5391935639624 	 363.591154722514
34 	 111836.0023449172 	 90.38444804050435 	 187.1979813598577 	 376.82800508836084
35 	 111814.25232101874 	 92.67907826404705 	 191.97349142964623 	 390.40257229005346
36 	 111791.9799842379 	 95.03036890777376 	 196.86849239584225 	 404.3233119182395
37 	 111769.17248444325 	 97.43967584790596 	 201.88582223022348 	 418.59888025622064
38 	 111745.81667714822 	 99.908375515394 	 207.02838706884498 	 433.2381392234775
39 	 111721.89911708779 	 102.43786698180281 	 212.29916068921187 	 448.2501612358499
40 	 111697.40605190257 	 105.02957351352201 	 217.7011844505796 	 463.6442340269584
41 	 111672.32341578403 	 107.6849439309558 	 223.23756740376024 	 479.4298655340237
42 	 111646.63682307085 	 110.40545366781039 	 228.9114866724558 	 495.6167888608603
43 	 111620.33156217267 	 113.19260567304487 	 234.72618789641652 	 512.2149670090048
44 	 111593.39259010654 	 116.04793077164025 	 240.6849860075756 	 529.2345972043696
45 	 111565.80452424202 	 118.97298870150189 	 246.79126593677714 	 546.6861174085566
46 	 111537.55163843144 	 121.96936833025325 	 253.04848315558553 	 564.5802094299395
47 	 111508.61785447557 	 125.03868829222378 	 259.46016473662496 	 582.9278057606687
48 	 111478.98673639301 	 128.1825971738918 	 266.0299102069017 	 601.7400942685967
49 	 111448.64148590314 	 131.40277378933345 	 272.76139210204605 	 621.0285218845011
50 	 111417.56493295064 	 134.7009276588755 	 279.6583571778521 	 640.8048023874659
